Justice Name,Total # of Gifts* Identified by FTC,Total $ Amount,# of Gifts IDed by FTC 1/1/04-12/31/23,$ Amount 1/1/04-12/31/23,"# of Additional ""Likely Gifts""",$ Amount,"# of Additional ""Likely Gifts"" 1/1/04-12/31/23",$ Amount 1/1/04-12/31/23,"Total IDed Gifts Plus ""Likely Gifts"" 1/1/04-12/31/23","$ Amount IDed Plus ""Likely Gifts"" 1/1/04-12/31/23","Total No. Incl. ""Likely""","Total $ Incl. ""Likely""",# Gifts Included on Financial Disclosure Reports**,% of All Gifts Disclosed,Notes
Kavanaugh,1,$100.00,1,$100.00,,,,,1,,1,,0,0.0%,
Barrett,3,$500.00,3,$500.00,,,,,3,,3,,0,0.0%,
Kagan,5,"$1,184.00",5,"$1,184.00",,,,,5,,5,,1,20.0%,
Gorsuch,6,"$2,450.00",6,"$2,450.00",,,,,6,,6,,3,50.0%,Unreported gifts likely below reporting threshold
Jackson,6,"$8,960.00",5,"$8,760.00",,,,,5,,6,,3,60.0%,Pct doesn't include 2023 gift since no 2024 FDR yet
Roberts,11,"$49,041.00",11,"$49,041.00",,,,,11,,11,,8,80.0%,Pct doesn't include 2023 gift since no 2023 FDR yet
Alito,16,"$170,095.00",16,"$170,095.00",,,,,16,,16,,6,37.5%,
Sotomayor,47,"$15,863.00",46,"$15,663.00",,,,,46,,47,,38,82.6%,Pct doesn't include 2023 gift since no 2024 FDR yet
Thomas,193,"$4,042,286.00",103,"$2,402,310.00",126,"$1,837,510.00",101,"$1,787,684.00",204,"$4,189,994.00",319,"$5,879,796.00",27,8.5%,
,546,"$4,755,147.00",344,"$2,993,036.00",126,"$1,837,510.00",101,"$1,787,684.00",445,"$4,780,720.00",672,"$6,592,657.00",188,28.0%,
